city,year,month,date,all,allM,allF,allO,alladult,allchild,allbaby,cvd,cvdM,cvdF,cvdO,cvdadult,cvdchild,cvdbaby,resp,respM,respF,respO,respadult,respchild,respbaby,copd,copdM,copdF,copdO,copdadult,copdchild,copdbaby,stroke,strokeM,strokeF,strokeO,strokeadult,strokechild,strokebaby,istroke,hstroke,ihd,asthma,pneu,ami,tm,tmin,tmax,rh,pm25,pm10,pmc,so2,no2,co,o38h,PM25,PM10,SO2,NO2,CO,O3,ph
Guilin,2015,1,2015/1/1,426,216,210,151,212,9,54,90,59,31,55,33,0,2,79,51,28,45,11,0,23,24,21,3,20,3,0,1,42,29,13,22,19,0,1,25,17,20,1,26,4,12.8,10.5,16.9,32,45.375,85.875,40.5,39.71590909,28.94318182,1.098329545,108.875,46,87,39,28,1.09,97,1
Guilin,2015,1,2015/1/2,355,175,180,116,186,6,47,70,41,29,39,29,0,2,38,26,12,18,8,1,11,13,11,2,9,2,0,2,27,12,15,15,11,0,1,22,5,23,1,12,7,11.5,7.6,18.2,44,83.14583333,146.0625,62.91666667,43.02105263,45.875,1.415484211,119,83,146,42,46,1.42,85,1
Guilin,2015,1,2015/1/3,375,166,209,91,216,11,57,66,40,26,32,32,1,1,41,21,20,11,10,3,17,9,5,4,5,1,0,3,22,15,7,10,12,0,0,16,6,17,2,15,1,12,6.4,19.9,55,115.7659574,176.0319149,60.2659575,45.09574468,57.96808511,1.704946809,122.15625,116,178,44,58,1.73,72,1
Guilin,2015,1,2015/1/4,579,275,304,157,328,13,81,81,42,39,45,36,0,0,58,40,18,18,16,1,23,15,9,6,11,4,0,0,28,14,14,15,13,0,0,24,4,18,0,20,4,11.9,9.4,14.7,76,180.1960784,255.8444444,75.648366,90.45098039,85.78431373,2.03454902,46.33333333,182,247,88,86,2.07,44,1
Guilin,2015,1,2015/1/5,665,308,357,178,384,16,87,87,52,35,43,42,1,1,90,60,30,29,23,5,33,24,19,5,14,9,0,1,25,20,5,15,9,0,1,17,8,25,3,28,5,14.2,12.4,16,94,154.4479167,166.975,12.5270833,51.6,56.08333333,2.043765957,21.875,152,144,53,53,2,29,0
Guilin,2015,1,2015/1/6,624,314,310,169,341,13,101,92,57,35,45,47,0,0,74,44,30,32,17,2,23,17,10,7,12,4,0,1,29,16,13,22,7,0,0,26,3,27,0,26,3,12.1,10,15.8,82,103.5978261,109.1860465,5.5882204,30.33695652,34.67391304,1.758543478,50.92857143,103,105,30,34,1.77,36,0
Guilin,2015,1,2015/1/7,556,261,295,162,299,10,85,91,55,36,53,36,0,2,62,38,24,25,12,4,21,13,7,6,11,2,0,0,44,32,12,26,17,0,1,36,8,22,1,24,3,8.7,7.3,10.4,74,60.92708333,69.40384615,8.47676282,27.29166667,27.38541667,1.2771875,44.1875,60,68,27,26,1.28,44,0
Guilin,2015,1,2015/1/8,482,224,258,135,260,10,77,79,47,32,43,34,0,2,57,39,18,18,14,2,23,12,9,3,8,4,0,0,31,18,13,19,11,0,1,24,7,23,0,21,2,9.6,7.7,12.1,62,82.44318182,96.23880597,13.79562415,29.26136364,27.31764706,0.986352273,87.40625,82,96,28,26,0.99,77,0
Guilin,2015,1,2015/1/9,492,222,270,148,265,7,72,76,36,40,45,30,0,1,70,46,24,26,20,0,24,23,13,10,16,6,0,1,30,13,17,18,11,0,1,21,9,24,3,24,3,9.7,8,11.8,65,103.5,121.5584416,18.0584416,34.65625,31.04166667,0.9983125,91.375,102,119,35,30,1,85,0
Guilin,2015,1,2015/1/10,333,150,183,85,176,13,59,49,25,24,31,16,0,2,43,29,14,12,10,2,19,10,8,2,7,3,0,0,16,7,9,9,6,0,1,10,6,14,1,16,4,8,6.7,9.8,87,39.50549451,42.84782609,3.34233158,8.352941176,24.96703297,0.52778022,64.28125,39,42,7,25,0.53,62,0
Guilin,2015,1,2015/1/11,272,125,147,84,133,7,48,55,28,27,35,20,0,0,41,27,14,14,8,0,19,10,7,3,7,2,0,1,20,12,8,11,9,0,0,15,5,17,0,16,5,8.2,7.5,9.3,89,31.34782609,37.46153846,6.11371237,8.366666667,26.27173913,0.393652174,59.53125,31,31,7,25,0.39,54,0
Guilin,2015,1,2015/1/12,631,313,318,188,363,16,64,110,67,43,62,44,1,3,100,59,41,37,34,3,26,21,14,7,18,3,0,0,43,28,15,27,13,0,3,33,10,28,3,32,6,8.7,7.9,10,84,51.55208333,58.57446809,7.02238476,10.67708333,22.33333333,0.613875,72.28125,49,51,9,20,0.59,71,0
Guilin,2015,1,2015/1/13,541,249,292,126,324,16,75,73,47,26,37,35,0,1,77,41,36,19,25,6,27,12,11,1,6,5,1,0,23,16,7,14,8,0,1,17,6,20,3,22,6,10.7,8.9,14.1,73,48.71875,57.3,8.58125,16.58333333,24.48958333,0.694822917,74.34375,48,58,16,24,0.69,62,0
Guilin,2015,1,2015/1/14,499,236,263,136,288,10,65,92,49,43,43,47,0,2,62,39,23,16,18,3,25,15,12,3,10,5,0,0,35,19,16,20,13,0,2,28,7,20,0,25,8,9.5,7.2,14.1,72,92.20833333,106.0384615,13.83012817,17.76041667,27.57291667,0.811979167,79.90625,91,102,17,27,0.81,63,0
Guilin,2015,1,2015/1/15,489,229,260,132,282,13,62,85,46,39,53,32,0,0,66,45,21,25,17,6,18,15,10,5,11,2,0,2,26,16,10,16,10,0,0,22,4,31,4,22,4,8.9,4,16,72,71.73958333,116.5,44.76041667,20.6875,40.40425532,0.837895833,90.875,71,112,19,40,0.85,59,0
Guilin,2015,1,2015/1/16,511,266,245,166,265,11,69,86,57,29,53,32,0,1,78,55,23,27,19,4,28,12,8,4,11,1,0,0,34,26,8,23,10,0,1,27,7,21,1,35,4,11.2,7,16.7,67,84.81052632,113.9186047,29.10807838,26.08421053,38.04255319,0.756642105,87.22580645,84,113,25,37,0.76,66,0
Guilin,2015,1,2015/1/17,337,154,183,94,177,6,60,61,32,29,34,24,0,3,41,26,15,11,11,1,18,8,4,4,5,2,0,1,26,12,14,14,11,0,1,20,6,17,1,15,6,12.4,9.3,16.8,58,110.0729167,132.5,22.4270833,30.35416667,34.69791667,0.846260417,116.125,109,134,29,34,0.85,97,0
Guilin,2015,1,2015/1/18,332,160,172,96,171,8,57,65,43,22,36,29,0,0,55,36,19,11,14,2,28,6,5,1,4,2,0,0,27,20,7,15,12,0,0,19,8,18,2,24,5,11.8,10.5,14.8,58,113.3068182,139.1097561,25.8029379,38.56818182,31.875,0.880136364,112.625,113,139,38,31,0.88,101,0
Guilin,2015,1,2015/1/19,664,318,346,202,379,13,70,107,60,47,63,43,0,1,101,62,39,30,35,3,33,19,12,7,12,7,0,0,32,18,14,22,10,0,0,27,5,39,3,34,11,12.7,7.5,19.8,50,82.875,138.1294118,55.2544118,32.14583333,48.1875,0.8796875,115.15625,81,136,32,48,0.88,79,0
Guilin,2015,1,2015/1/20,533,252,281,144,296,6,87,76,37,39,40,35,0,1,78,48,30,23,16,3,36,19,14,5,12,6,0,1,28,15,13,14,14,0,0,20,8,22,0,27,2,12.6,10.4,15.6,51,111.1979167,176.6847826,65.4868659,64.57291667,65.77083333,0.9640625,69.90625,110,176,64,65,0.96,53,0
Guilin,2015,1,2015/1/21,483,236,247,147,245,10,81,77,44,33,47,30,0,0,76,45,31,27,14,4,31,18,11,7,12,4,0,2,17,12,5,13,4,0,0,12,5,35,0,28,4,13.6,7.5,21.6,60,100.6041667,161.0898876,60.4857209,41.40625,51.71875,0.89578125,88.0625,101,162,40,51,0.9,51,0
Guilin,2015,1,2015/1/22,472,206,266,144,257,5,66,70,40,30,39,29,0,2,77,42,35,31,19,1,26,18,12,6,13,5,0,0,19,11,8,13,6,0,0,12,7,22,3,33,5,13.3,7.9,20.7,57,97.96875,158.9894737,61.0207237,34.45833333,55.29787234,0.959135417,109.125,97,158,34,54,0.96,73,0
Guilin,2015,1,2015/1/23,476,212,264,151,246,11,68,74,39,35,45,26,0,3,78,40,38,31,19,1,27,19,10,9,13,5,0,1,30,17,13,18,10,0,2,24,6,15,1,23,1,14.3,9.1,20.9,67,119.1190476,187.0897436,67.970696,35.11904762,65.07142857,1.019083333,82.17857143,117,185,32,63,1.01,57,0
Guilin,2015,1,2015/1/24,331,166,165,95,165,12,59,63,42,21,39,19,0,5,48,29,19,10,12,2,24,10,8,2,7,3,0,0,21,14,7,12,6,0,3,16,5,21,1,21,5,16.9,15.9,17.8,59,58.61458333,99.30107527,40.68649194,25.05208333,43.5,0.591775281,81.4375,58,101,24,42,0.59,77,0
Guilin,2015,1,2015/1/25,376,185,191,103,196,11,66,64,41,23,34,28,0,2,55,33,22,17,14,0,24,10,8,2,8,1,0,1,27,20,7,14,11,0,2,21,6,22,0,21,6,16.3,13.9,20.5,77,95.08333333,128.7529412,33.66960787,41.41666667,48.75,0.759223404,51.09375,94,127,41,48,0.75,38,0
Guilin,2015,1,2015/1/26,624,317,307,175,327,40,82,102,58,44,56,41,1,4,79,54,25,22,23,5,29,16,13,3,10,5,0,1,37,23,14,17,18,0,2,28,9,31,3,24,3,15.6,13.1,19.7,72,130.6413043,149.2439024,18.6025981,29.02173913,38.73913043,1.025347826,69.21875,131,109,28,38,1.03,53,0
Guilin,2015,1,2015/1/27,490,239,251,134,258,24,74,79,49,30,40,34,1,4,71,47,24,19,20,4,28,7,5,2,6,1,0,0,30,18,12,16,12,0,2,24,6,28,1,30,9,12.3,10.5,16.4,80,68.65625,85.7,17.04375,15.51041667,34.82291667,1.256458333,41.34375,68,87,15,34,1.26,41,0
Guilin,2015,1,2015/1/28,420,208,212,111,219,17,73,69,36,33,38,23,1,7,71,52,19,22,11,8,30,13,13,0,9,4,0,0,29,16,13,17,7,0,5,23,6,14,0,31,0,7.3,6,10.6,83,21.4673913,28.0862069,6.6188156,11.31521739,35.21978022,1.544304348,15.14285714,21,27,10,34,1.53,22,0
Guilin,2015,1,2015/1/29,413,191,222,123,204,24,62,77,40,37,50,23,0,4,61,36,25,19,14,5,23,14,9,5,12,0,1,1,27,15,12,21,6,0,0,19,8,21,0,21,1,4.3,3.5,6.3,82,11.0625,17.25862069,6.19612069,9.25,25.08602151,0.927458333,13.25,10,17,8,24,0.92,12,0
Guilin,2015,1,2015/1/30,421,194,227,134,219,12,56,67,42,25,39,25,1,2,64,44,20,22,16,3,23,15,11,4,10,0,0,5,31,16,15,20,10,0,1,22,9,19,2,17,3,3.4,2.7,4.3,74,31.35869565,35.2244898,3.86579415,11.80434783,17.88043478,0.786413043,42.71428571,31,36,11,17,0.79,33,0
Guilin,2015,1,2015/1/31,350,166,184,90,171,8,81,66,40,26,37,24,0,5,52,23,29,10,10,2,30,9,5,4,6,1,0,2,29,20,9,14,13,0,2,20,9,17,0,25,4,3.6,2.4,4.6,75,40.80952381,51.04166667,10.23214286,14.78571429,17.92857143,0.964428571,34.96875,38,43,13,18,0.98,38,0
Guilin,2015,2,2015/2/1,317,155,162,77,158,17,65,51,30,21,28,19,1,3,65,45,20,17,14,6,28,14,11,3,8,5,0,1,22,14,8,11,10,0,1,14,8,15,1,28,3,4.4,3.5,5.3,75,31.8125,39.78571429,7.97321429,10.85416667,21.89583333,1.082614583,23.875,31,40,10,21,1.08,23,0
