Name,win_rate,pick_rate,BAN_rate,BP_rate,con
A,51.04,15.8,28.5,44.3,0
B,48.75,22.4,0.3,22.7,0
C,52.08,16.3,8.7,25,1
D,52.19,11.2,11.88,23.08,1
E,48.96,13.5,0.78,14.28,0
F,50.32,13.5,0.12,13.62,1
G,50.32,13.3,0.48,13.78,0
H,47.11,12.6,0.3,12.9,0
I,50.95,10.2,0.6,10.8,1
J,50.4,10.2,0.36,10.56,0
K,52.82,8.9,2.46,11.36,0
L,51.79,8.3,1.02,9.32,1
M,49.14,8.2,0.18,8.38,1
N,44.85,7.7,0.3,8,1
O,52.18,7.5,0.12,7.62,1
P,46.36,6.7,0.24,6.94,1
Q,49.84,5.3,0.06,5.36,0
R,52.09,4.5,0.06,4.56,0
S,53.76,4.5,0.18,4.68,1
T,51.16,4.3,0.06,4.36,0
U,46.89,4.3,0.06,4.36,1
V,50.26,4.1,0.06,4.16,0
W,46.52,3.4,0.3,3.7,0
X,51.8,2.8,0.24,3.04,1
Y,53.89,2.3,0.06,2.36,0
Z,51.21,2.3,0.12,2.42,0
A2,50.2,1.9,0,1.9,0
