"date","ws","wd","nox","no2","o3","pm10","so2","co","pm25"
1999-01-01 00:00:00,5.04,140,88,35,4,21,3.835,1.025,18
1999-01-01 01:00:00,4.08,160,132,41,3,17,5.243333,2.7,11
1999-01-01 02:00:00,4.8,160,168,40,4,17,6.513333,2.866667,8
1999-01-01 03:00:00,4.92,150,85,36,3,15,4.18,1.625,10
1999-01-01 04:00:00,4.68,150,93,37,3,16,4.25,1.025,11
1999-01-01 06:00:00,3.84,170,102,32,4,16,4.005,0.8,9
1999-01-01 07:00:00,4.32,180,130,35,4,19,4.885,1,11
1999-01-01 08:00:00,4.32,170,103,36,5,20,3.7825,0.7,11
1999-01-01 09:00:00,4.08,180,83,35,6,17,3.1275,0.425,10
1999-01-01 10:00:00,6.12,170,122,40,6,18,4.03,0.675,11
1999-01-01 11:00:00,5.88,180,110,42,8,19,4.35,0.875,10
1999-01-01 12:00:00,6.6,200,122,42,7,18,4.35,0.975,11
1999-01-01 13:00:00,7.2,190,108,33,9,17,4.005,1.05,10
1999-01-01 14:00:00,7.44,190,126,43,6,19,4.225,1.325,11
1999-01-01 15:00:00,6.12,190,134,43,5,20,4.47,1.475,11
1999-01-01 16:00:00,5.76,180,157,52,3,20,4.5675,1.6,12
1999-01-01 17:00:00,5.88,180,131,49,3,22,4.37,1.375,11
1999-01-01 18:00:00,6,170,99,40,4,20,3.4225,1.175,11
1999-01-01 19:00:00,5.28,170,84,36,5,18,2.9325,1.05,9
1999-01-01 20:00:00,6.72,170,86,37,7,18,3.0275,1.125,10
1999-01-01 21:00:00,7.08,170,67,37,9,15,2.3925,0.75,8
1999-01-01 22:00:00,9,180,59,31,12,14,2.4925,0.7,8
1999-01-01 23:00:00,10.68,190,47,23,17,14,1.8575,0.5,6
1999-01-02 00:00:00,10.56,180,35,18,22,10,1.4925,0.4,4
1999-01-02 01:00:00,12,180,26,14,26,10,1.236667,0.2333333,4
1999-01-02 02:00:00,13.92,190,24,12,29,9,1.793333,0.1666667,3
1999-01-02 03:00:00,12.48,180,17,9,30,6,1.12,0.125,3
1999-01-02 04:00:00,11.28,180,25,11,26,10,1.025,0.2,6
1999-01-02 06:00:00,8.52,210,91,45,18,18,1.785,0.6,7
1999-01-02 07:00:00,6.84,200,131,40,11,14,2.4675,1,8
1999-01-02 08:00:00,6.24,210,182,54,6,19,4.03,1.475,12
1999-01-02 09:00:00,6.72,200,179,51,6,29,4.47,1.575,15
1999-01-02 10:00:00,8.16,220,175,55,8,32,4.8875,1.55,17
1999-01-02 11:00:00,8.76,220,156,45,9,29,4.7125,1.325,14
1999-01-02 12:00:00,9.48,220,161,34,9,27,5.2775,1.35,14
1999-01-02 13:00:00,9.72,230,151,40,9,23,5.1525,1.475,12
1999-01-02 14:00:00,8.4,230,161,40,9,24,5.375,1.625,13
1999-01-02 15:00:00,6.6,220,214,50,5,30,6.4475,1.975,15
1999-01-02 16:00:00,5.52,250,262,61,4,27,5.91,2.275,14
1999-01-02 17:00:00,4.56,210,213,49,4,33,5.4975,2.325,20
1999-01-02 18:00:00,3.24,220,350,63,3,29,8.4275,4.5,18
1999-01-02 19:00:00,4.68,230,343,64,2,35,8.355,4.275,23
1999-01-02 20:00:00,5.16,230,292,60,1,32,7.4975,3.375,22
1999-01-02 21:00:00,6.12,230,185,48,3,19,5.4,1.975,12
1999-01-02 22:00:00,6.12,230,210,55,4,20,5.475,2.125,13
1999-01-02 23:00:00,6.24,230,202,53,5,19,4.6425,2,11
1999-01-03 00:00:00,4.68,220,219,51,4,21,5.2775,2.275,12
1999-01-03 01:00:00,5.52,220,167,32,6,18,4.006667,1.566667,11
1999-01-03 02:00:00,5.28,210,122,36,11,19,3.386667,1,9
1999-01-03 03:00:00,5.04,180,99,34,10,19,2.9325,0.675,9
1999-01-03 04:00:00,5.28,190,72,32,14,20,2.0775,0.6,8
1999-01-03 06:00:00,7.68,150,53,29,20,11,1.44,0.325,4
1999-01-03 07:00:00,8.52,160,53,28,17,7,1.6625,0.4,4
1999-01-03 08:00:00,8.4,180,124,48,12,15,3.9075,1,10
1999-01-03 09:00:00,8.52,230,139,51,10,29,4.25,1.1,16
1999-01-03 10:00:00,9.48,230,144,49,7,36,4.615,1.6,22
1999-01-03 11:00:00,11.28,250,95,42,12,28,3.8125,1.175,20
1999-01-03 12:00:00,10.56,290,40,20,21,7,2.2,0.425,6
1999-01-03 13:00:00,7.8,300,57,27,18,11,1.9075,0.55,11
1999-01-03 14:00:00,5.16,300,75,37,15,12,2.2475,0.825,9
1999-01-03 15:00:00,4.56,290,188,62,4,15,4.4925,1.85,12
1999-01-03 16:00:00,5.64,270,302,81,2,29,7.72,3.475,18
1999-01-03 17:00:00,6.24,230,263,56,2,29,7.5,2.825,17
1999-01-03 18:00:00,4.8,250,277,70,2,30,7.4275,3.25,19
1999-01-03 19:00:00,4.8,210,213,66,1,32,5.52,2.333333,17
1999-01-03 20:00:00,5.04,180,242,76,1,27,5.91,2.225,13
1999-01-05 14:00:00,7.92,210,257,44,2,44,7.5475,1.925,26
1999-01-05 15:00:00,6.84,220,231,36,2,48,6.8875,2.025,23
1999-01-05 16:00:00,5.16,210,193,35,2,44,5.5675,2.075,24
1999-01-05 17:00:00,4.56,190,215,41,2,43,5.4225,2.475,29
1999-01-05 18:00:00,5.4,190,241,30,1,40,5.52,3.075,22
1999-01-05 19:00:00,5.4,200,197,36,1,38,5.18,2.125,23
1999-01-05 20:00:00,3.96,180,197,34,1,38,5.3525,1.875,26
1999-01-05 21:00:00,4.2,180,189,35,1,38,5.5475,1.675,24
1999-01-05 22:00:00,5.88,200,214,34,2,40,6.3525,2.05,25
