STATE_NAME,STATE_ABBR,Count,Clinton,Trump,Results
Washington,WA,12,0.556,0.379,Clinton
Montana,MT,3,0.36,0.565,Trump
Maine,ME,4,0.479,0.452,Clinton
North Dakota,ND,3,0.278,0.641,Trump
South Dakota,SD,3,0.317,0.615,Trump
Wyoming,WY,3,0.225,0.701,Trump
Wisconsin,WI,10,0.469,0.479,Trump
Idaho,ID,4,0.276,0.592,Trump
Vermont,VT,3,0.611,0.326,Clinton
Minnesota,MN,10,0.469,0.454,Clinton
Oregon,OR,7,0.519,0.409,Clinton
New Hampshire,NH,4,0.476,0.473,Clinton
Iowa,IA,6,0.422,0.518,Trump
Massachusetts,MA,11,0.608,0.335,Clinton
Nebraska,NE,5,0.34,0.603,Trump
New York,NY,29,0.588,0.375,Clinton
Pennsylvania,PA,20,0.476,0.488,Trump
Connecticut,CT,7,0.545,0.412,Clinton
Rhode Island,RI,4,0.551,0.401,Clinton
New Jersey,NJ,14,0.55,0.418,Clinton
Indiana,IN,11,0.379,0.572,Trump
Nevada,NV,6,0.479,0.455,Clinton
Utah,UT,6,0.278,0.466,Trump
California,CA,55,0.615,0.332,Clinton
Ohio,OH,18,0.435,0.521,Trump
Illinois,IL,20,0.554,0.394,Clinton
District of Columbia,DC,3,0.928,0.041,Clinton
Delaware,DE,3,0.534,0.419,Clinton
West Virginia,WV,5,0.265,0.687,Trump
Maryland,MD,10,0.605,0.353,Clinton
Colorado,CO,9,0.473,0.44,Clinton
Kentucky,KY,8,0.327,0.625,Trump
Kansas,KS,6,0.362,0.572,Trump
Virginia,VA,13,0.499,0.45,Clinton
Missouri,MO,10,0.38,0.571,Trump
Arizona,AZ,11,0.454,0.495,Trump
Oklahoma,OK,7,0.289,0.653,Trump
North Carolina,NC,15,0.467,0.505,Trump
Tennessee,TN,11,0.349,0.611,Trump
Texas,TX,38,0.434,0.526,Trump
New Mexico,NM,5,0.483,0.4,Clinton
Alabama,AL,9,0.346,0.629,Trump
Mississippi,MS,6,0.397,0.583,Trump
Georgia,GA,16,0.456,0.513,Trump
South Carolina,SC,9,0.408,0.549,Trump
Arkansas,AR,6,0.338,0.604,Trump
Louisiana,LA,8,0.384,0.581,Trump
Florida,FL,29,0.478,0.491,Trump
Michigan,MI,16,0.473,0.476,Trump
Hawaii,HI,4,0.622,0.3,Clinton
Alaska,AK,3,0.377,0.529,Trump
