N1,N2,value,
2017,Wolf Warrior 2,56.39,"Beijing Dengfeng International Media Co.,Ltd"
2019,Ne Zha,49.34,Chengdu Coco Cartoon
2019,The Wandering Earth,46.18,China Film Group
2019,Avengers 4,42.05,Marvel Studios
2018,Operation Red Sea,36.22,Bona Film Group Limited
2016,The Mermaid,33.9,China Film Group
2018,Detective Chinatown 2,33.71,MM2 Entertainment
2019,"My People, My Country",31.46,Huaxia Film Distribution Company
2018,Dying to Survive,30.75,Dirty Monkey Films Group
2019,The Captain,28.84,Bona Film Group Limited
2017,Furious 8,26.49,Universal Pictures
2018,Hello Mr. Billionaire,25.27,Star Film Group Limited
2015,Furious 7,24.26,Universal Pictures
2015,Monster Hunt,24.21,Dream Sky Entertainment
2018,Avengers 3,23.7,Marvel Studios
