"","act_3_code","act_2_code","act_1_code","director_code","link","id","title","year","content_rating","duration","release_date","imdb_score","imdb_rating_count","director_name","act_1_name","act_2_name","act_3_name","meta_score","review_user_num","review_critic_num","popularity","movie_awards","genres","country","language","budget_estimated","opening_weekend_box_office_USA","gross_USA","cumulative_worldwide_gross","production_co","IMAX","TD","month","movie_win","movie_nom","director_win","director_nom","actor1_win","actor1_nom","actor2_win","actor2_nom","actor3_win","actor3_nom","famous_co"
"2","/name/nm0000002/","/name/nm0000218/","/name/nm0000437/","/name/nm0001707/","https://www.imdb.com/title/tt0783608/",387,"The Walker",2007,"R",108,"SummerVacation",5.8,5074,"Paul Schrader","Woody Harrelson","Kristin Scott Thomas","Lauren Bacall",51,57,72,0,"1 win.","Crime|Drama|Mystery","USA","English","$10,000,000",16525,79698,546369,"Kintop Pictures","0","0",8,1,0,34,62,27,92,28,49,20,13,0
"9","/name/nm0000056/","/name/nm0000142/","/name/nm0002147/","/name/nm0777593/","https://www.imdb.com/title/tt1533089/",515,"Tab Hunter Confidential",2015,"OR",90,"Other",7.7,2896,"Jeffrey Schwarz","Tab Hunter","Clint Eastwood","Paul Newman",60,22,34,0,"8 wins & 3 nominations.","Documentary|Biography","USA","English",NA,9945,85812,85812,"Allan Glaser Productions","0","0",10,8,3,21,11,1,1,152,168,37,66,0
"10","/name/nm0000056/","/name/nm0001372/","/name/nm0005562/","/name/nm0005124/","https://www.imdb.com/title/tt0317219/",6,"Cars",2006,"G",117,"SummerVacation",7.1,341073,"John Lasseter","Owen Wilson","Bonnie Hunt","Paul Newman",73,640,265,557,"Nominatedfor 2 Oscars.28 wins & 32 nominations.","Animation|Comedy|Family|Sport","USA","English","$120,000,000",60119509,244082982,461983149,"Pixar Animation Studios","0","1",6,28,34,37,32,15,50,5,15,37,66,1
"15","/name/nm0000084/","/name/nm0000273/","/name/nm0000375/","/name/nm0000774/","https://www.imdb.com/title/tt0343663/",262,"Eros",2004,"R",104,"Christmas",6,5839,"Michelangelo Antonioni","Robert Downey Jr.","Alan Arkin","Li Gong",51,37,54,0,"1 win.","Drama|Romance","USA","Mandarin",NA,53666,188392,1535829,"Block 2 Pictures","0","0",12,1,0,46,25,41,109,28,71,33,20,0
"16","/name/nm0000084/","/name/nm0004937/","/name/nm0268199/","/name/nm0000520/","https://www.imdb.com/title/tt0430357/",27,"Miami Vice",2006,"R",132,"SummerVacation",6,105263,"Michael Mann","Colin Farrell","Jamie Foxx","Li Gong",65,961,248,3083,"1 win & 9 nominations.","Action|Crime|Thriller","USA","English","$135,000,000",25723815,63450470,163794509,"Universal Pictures","0","0",7,1,9,18,36,15,58,50,83,33,20,1
"20","/name/nm0000090/","/name/nm0915208/","/name/nm0654110/","/name/nm0878756/","https://www.imdb.com/title/tt0963178/",89,"The International",2009,"R",118,"Other",6.5,88174,"Tom Tykwer","Clive Owen","Naomi Watts","Armin Mueller-Stahl",52,203,250,4483,"1 win & 1 nomination.","Action|Crime|Drama|Mystery|Thriller","USA","English","$50,000,000",9331739,25450527,60161391,"Columbia Pictures","0","0",2,1,1,39,56,20,38,56,89,26,7,1
"21","/name/nm0000090/","/name/nm0445987/","/name/nm0659363/","/name/nm0806450/","https://www.imdb.com/title/tt0329030/",496,"The Dust Factory",2004,"PG",99,"SummerVacation",6,1472,"Eric Small","Hayden Panettiere","Ryan Kelley","Armin Mueller-Stahl",48,29,9,0,NA,"Drama|Family|Fantasy","USA","English",NA,8000,12311,12311,"Bahr Productions Inc.","0","0",5,0,0,1,1,10,26,2,1,26,7,0
"23","/name/nm0000092/","/name/nm0272401/","/name/nm0191906/","/name/nm0027459/","https://www.imdb.com/title/tt1449283/",108,"Winnie the Pooh",2011,"G",63,"SummerVacation",7.2,20213,"Stephen J. Anderson","Jim Cummings","Craig Ferguson","John Cleese",74,62,166,0,"2 wins & 25 nominations.","Animation|Adventure|Comedy|Family|Musical","USA","English","$30,000,000",7857076,26692846,49871429,"Walt Disney Pictures","0","0",7,2,25,0,5,7,17,3,12,10,19,1
"24","/name/nm0000093/","/name/nm1706767/","/name/nm0002071/","/name/nm0569891/","https://www.imdb.com/title/tt1001526/",17,"Megamind",2010,"PG",95,"Christmas",7.2,213703,"Tom McGrath","Will Ferrell","Jonah Hill","Brad Pitt",63,237,233,2275,"2 wins & 16 nominations.","Animation|Action|Comedy|Family|Sci-Fi","USA","English","$130,000,000",46016833,148415853,321885765,"DreamWorks Animation","1","1",11,2,16,1,11,13,84,8,63,76,166,1
"28","/name/nm0000099/","/name/nm2028116/","/name/nm0578949/","/name/nm0726638/","https://www.imdb.com/title/tt1817676/",219,"Girl in Progress",2012,"PG-13",93,"SummerVacation",5.6,6291,"Patricia Riggen","Eva Mendes","Cierra Ramirez","Patricia Arquette",45,20,30,0,"6 wins & 4 nominations.","Comedy|Drama","USA","English","$5,000,000",1384078,2609412,4599888,"Anxiety Productions","0","0",8,6,4,14,2,2,15,2,5,54,64,0
