"fips","abbr","county","pop_2015"
"01001","AL","Autauga County",55347
"01003","AL","Baldwin County",203709
"01005","AL","Barbour County",26489
"01007","AL","Bibb County",22583
"01009","AL","Blount County",57673
"01011","AL","Bullock County",10696
"01013","AL","Butler County",20154
"01015","AL","Calhoun County",115620
"01017","AL","Chambers County",34123
"01019","AL","Cherokee County",25859
"01021","AL","Chilton County",43943
"01023","AL","Choctaw County",13170
"01025","AL","Clarke County",24675
"01027","AL","Clay County",13555
"01029","AL","Cleburne County",15018
"01031","AL","Coffee County",51211
"01033","AL","Colbert County",54354
"01035","AL","Conecuh County",12672
"01037","AL","Coosa County",10724
"01039","AL","Covington County",37835
"01041","AL","Crenshaw County",13963
"01043","AL","Cullman County",82005
"01045","AL","Dale County",49565
"01047","AL","Dallas County",41131
"01049","AL","DeKalb County",71130
"01051","AL","Elmore County",81468
"01053","AL","Escambia County",37789
"01055","AL","Etowah County",103057
"01057","AL","Fayette County",16759
"01059","AL","Franklin County",31696
"01061","AL","Geneva County",26777
"01063","AL","Greene County",8479
"01065","AL","Hale County",15068
"01067","AL","Henry County",17221
"01069","AL","Houston County",104173
"01071","AL","Jackson County",52419
"01073","AL","Jefferson County",660367
"01075","AL","Lamar County",13886
"01077","AL","Lauderdale County",92596
"01079","AL","Lawrence County",33115
"01081","AL","Lee County",156993
"01083","AL","Limestone County",91663
"01085","AL","Lowndes County",10458
"01087","AL","Macon County",19105
"01089","AL","Madison County",353089
"01091","AL","Marengo County",20028
"01093","AL","Marion County",30168
"01095","AL","Marshall County",94725
"01097","AL","Mobile County",415395
"01099","AL","Monroe County",21673
"01101","AL","Montgomery County",226519
"01103","AL","Morgan County",119565
"01105","AL","Perry County",9652
"01107","AL","Pickens County",20864
"01109","AL","Pike County",33046
"01111","AL","Randolph County",22696
"01113","AL","Russell County",59660
"01115","AL","St. Clair County",87074
"01117","AL","Shelby County",208713
"01119","AL","Sumter County",13103
"01121","AL","Talladega County",80862
"01123","AL","Tallapoosa County",40844
"01125","AL","Tuscaloosa County",203976
"01127","AL","Walker County",65294
"01129","AL","Washington County",16804
"01131","AL","Wilcox County",11059
"01133","AL","Winston County",23877
"02013","AK","Aleutians East Borough",3341
"02016","AK","Aleutians West Census Area",5702
"02020","AK","Anchorage Municipality",298695
"02050","AK","Bethel Census Area",17946
"02060","AK","Bristol Bay Borough",892
"02068","AK","Denali Borough",1919
"02070","AK","Dillingham Census Area",4997
"02090","AK","Fairbanks North Star Borough",99631
"02100","AK","Haines Borough",2534
"02105","AK","Hoonah-Angoon Census Area",2133
"02110","AK","Juneau City and Borough",32756
"02122","AK","Kenai Peninsula Borough",58059
"02130","AK","Ketchikan Gateway Borough",13709
"02150","AK","Kodiak Island Borough",13889
"02158","AK","Kusilvak Census Area",8119
"02164","AK","Lake and Peninsula Borough",1563
"02170","AK","Matanuska-Susitna Borough",101095
"02180","AK","Nome Census Area",9846
"02185","AK","North Slope Borough",9687
"02188","AK","Northwest Arctic Borough",7752
"02195","AK","Petersburg Borough",3177
"02198","AK","Prince of Wales-Hyder Census Area",6341
"02220","AK","Sitka City and Borough",8863
"02230","AK","Skagway Municipality",1057
"02240","AK","Southeast Fairbanks Census Area",6839
"02261","AK","Valdez-Cordova Census Area",9362
"02275","AK","Wrangell City and Borough",2382
"02282","AK","Yakutat City and Borough",613
"02290","AK","Yukon-Koyukuk Census Area",5533
"04001","AZ","Apache County",71474
"04003","AZ","Cochise County",126427
"04005","AZ","Coconino County",139097
"04007","AZ","Gila County",53159
"04009","AZ","Graham County",37666
"04011","AZ","Greenlee County",9529
"04012","AZ","La Paz County",20152
"04013","AZ","Maricopa County",4167947
"04015","AZ","Mohave County",204737
"04017","AZ","Navajo County",108277
"04019","AZ","Pima County",1010025
"04021","AZ","Pinal County",406584
"04023","AZ","Santa Cruz County",46461
"04025","AZ","Yavapai County",222255
"04027","AZ","Yuma County",204275
