"number","old_state","replace_to"
1,"AK Anchorage County","AK Anchorage Municipality"
2,"AK Fairbanks North Star County","AK Fairbanks North Star Borough"
3,"AK Juneau County","AK Juneau City and Borough"
4,"AK Kenai Peninsula County","AK Kenai Peninsula Borough"
5,"AK Ketchikan Gateway County","AK Ketchikan Gateway Borough"
6,"AK Matanuska-Susitna County","AK Matanuska-Susitna Borough"
7,"AK Petersburg County","AK Petersburg Borough"
8,"AK Southeast Fairbanks County","AK Southeast Fairbanks Census Area"
9,"AK Unassigned County",
10,"AK Yukon-Koyukuk County","AK Yukon-Koyukuk Census Area"
11,"AR Unassigned County",
12,"AZ Unassigned County",
13,"CA Unassigned County",
14,"CO Out of state County",
15,"CO Unassigned County",
16,"CT Unassigned County",
17,"DC District of Columbia County","DC District of Columbia"
18,"DE Unassigned County",
19,"Diamond Princess Riverside County",
20,"Diamond Princess San Diego County",
21,"Diamond Princess Sonoma County",
22,"Diamond Princess Unassigned County",
23,"FL Desoto County","FL DeSoto County"
24,"FL Unassigned County",
25,"GA Mcduffie County","GA McDuffie County"
26,"GA Mcintosh County","GA McIntosh County"
27,"GA Unassigned County",
28,"Grand Princess Grand Princess  County",
29,"Grand Princess San Diego County",
30,"Grand Princess Solano County",
31,"Grand Princess Unassigned County",
32,"GU Guam County",
33,"HI Residents diagnosed Outside of HI County",
34,"HI Unassigned County",
35,"IA Obrien County","IA O'Brien County"
36,"IA Unassigned County",
37,"IL La Salle County","IL LaSalle County"
38,"IL Unassigned County",
39,"IN Verm. County","IN Vermillion County"
40,"KY Unassigned County",
41,"LA Acadia County","LA Acadia Parish"
42,"LA Allen County","LA Allen Parish"
43,"LA Ascension County","LA Ascension Parish"
44,"LA Assumption County","LA Assumption Parish"
45,"LA Avoyelles County","LA Avoyelles Parish"
46,"LA Beauregard County","LA Beauregard Parish"
47,"LA Bienville County","LA Bienville Parish"
48,"LA Bossier County","LA Bossier Parish"
49,"LA Caddo County","LA Caddo Parish"
50,"LA Calcasieu County","LA Calcasieu Parish"
51,"LA Caldwell County","LA Caldwell Parish"
52,"LA Catahoula County","LA Catahoula Parish"
53,"LA Claiborne County","LA Claiborne Parish"
54,"LA Concordia County","LA Concordia Parish"
55,"LA De Soto County","LA De Soto Parish"
56,"LA East Baton Rouge County","LA East Baton Rouge Parish"
