"","year","sex","name","n","prop"
"1",1880,"F","Rachel",166,0.00170073
"2",1880,"F","Phoebe",50,0.00051227
"3",1880,"F","Monica",6,6.147e-05
"4",1880,"M","Ross",69,0.00058277
"5",1881,"F","Rachel",157,0.00158818
"6",1881,"F","Phoebe",46,0.00046533
"7",1881,"F","Monica",10,0.00010116
"8",1881,"M","Ross",82,0.00075728
"9",1882,"F","Rachel",203,0.00175461
"10",1882,"F","Phoebe",62,0.00053589
"11",1882,"M","Ross",96,0.00078669
"12",1883,"F","Rachel",174,0.00144929
"13",1883,"F","Phoebe",66,0.00054973
"14",1883,"F","Monica",5,4.165e-05
"15",1883,"M","Ross",88,0.00078238
"16",1884,"F","Rachel",230,0.00167168
"17",1884,"F","Phoebe",75,0.00054511
"18",1884,"F","Monica",8,5.815e-05
"19",1884,"M","Ross",110,0.00089622
"20",1885,"F","Rachel",212,0.0014935
"21",1885,"F","Phoebe",72,0.00050723
"22",1885,"F","Monica",10,7.045e-05
"23",1885,"M","Ross",109,0.0009401
"24",1886,"F","Rachel",213,0.0013855
"25",1886,"F","Phoebe",80,0.00052038
"26",1886,"F","Monica",10,6.505e-05
"27",1886,"M","Ross",107,0.00089885
"28",1887,"F","Rachel",226,0.00145411
"29",1887,"F","Phoebe",63,0.00040535
"30",1887,"F","Monica",13,8.364e-05
"31",1887,"M","Ross",85,0.00077758
"32",1888,"F","Rachel",281,0.00148328
"33",1888,"F","Phoebe",65,0.00034311
"34",1888,"F","Monica",13,6.862e-05
"35",1888,"M","Ross",90,0.00069281
"36",1889,"F","Rachel",266,0.00140578
"37",1889,"F","Phoebe",67,0.00035409
"38",1889,"F","Monica",14,7.399e-05
"39",1889,"M","Ross",115,0.00096613
"40",1890,"F","Rachel",318,0.0015769
"41",1890,"F","Phoebe",74,0.00036695
"42",1890,"F","Monica",17,8.43e-05
"43",1890,"M","Ross",101,0.00084377
"44",1891,"F","Rachel",267,0.00135832
"45",1891,"F","Phoebe",84,0.00042734
"46",1891,"F","Monica",25,0.00012718
"47",1891,"F","Ross",5,2.544e-05
"48",1891,"M","Ross",86,0.00078708
"49",1892,"F","Rachel",369,0.00164063
"50",1892,"F","Phoebe",88,0.00039126
"51",1892,"F","Monica",27,0.00012005
"52",1892,"M","Ross",90,0.00068466
"53",1893,"F","Rachel",321,0.0014252
"54",1893,"F","Phoebe",86,0.00038183
"55",1893,"F","Monica",25,0.000111
"56",1893,"M","Ross",76,0.00062789
"57",1894,"F","Rachel",317,0.00134339
"58",1894,"F","Phoebe",85,0.00036021
"59",1894,"F","Monica",22,9.323e-05
"60",1894,"M","Ross",110,0.00088075
"61",1895,"F","Rachel",351,0.00142044
"62",1895,"F","Phoebe",90,0.00036422
"63",1895,"F","Monica",20,8.094e-05
"64",1895,"M","Ross",73,0.00057642
