"year","character_name","n"
1880,"Rachel",166
1880,"Phoebe",50
1880,"Monica",6
1880,"Ross",69
1880,"Chandler",NA
1880,"Joey",NA
1881,"Rachel",157
1881,"Phoebe",46
1881,"Monica",10
1881,"Ross",82
1881,"Chandler",NA
1881,"Joey",NA
1882,"Rachel",203
1882,"Phoebe",62
1882,"Monica",NA
1882,"Ross",96
1882,"Chandler",NA
1882,"Joey",NA
1883,"Rachel",174
1883,"Phoebe",66
1883,"Monica",5
1883,"Ross",88
1883,"Chandler",NA
1883,"Joey",NA
1884,"Rachel",230
1884,"Phoebe",75
1884,"Monica",8
1884,"Ross",110
1884,"Chandler",NA
1884,"Joey",NA
1885,"Rachel",212
1885,"Phoebe",72
1885,"Monica",10
1885,"Ross",109
1885,"Chandler",NA
1885,"Joey",NA
1886,"Rachel",213
1886,"Phoebe",80
1886,"Monica",10
1886,"Ross",107
1886,"Chandler",NA
1886,"Joey",NA
1887,"Rachel",226
1887,"Phoebe",63
1887,"Monica",13
1887,"Ross",85
1887,"Chandler",NA
1887,"Joey",NA
1888,"Rachel",281
1888,"Phoebe",65
1888,"Monica",13
1888,"Ross",90
1888,"Chandler",NA
1888,"Joey",NA
1889,"Rachel",266
1889,"Phoebe",67
1889,"Monica",14
1889,"Ross",115
1889,"Chandler",NA
1889,"Joey",NA
1890,"Rachel",318
1890,"Phoebe",74
1890,"Monica",17
1890,"Ross",101
1890,"Chandler",NA
1890,"Joey",NA
1891,"Rachel",267
1891,"Phoebe",84
1891,"Monica",25
1891,"Ross",91
1891,"Chandler",NA
1891,"Joey",NA
1892,"Rachel",369
1892,"Phoebe",88
1892,"Monica",27
1892,"Ross",90
1892,"Chandler",NA
1892,"Joey",NA
1893,"Rachel",321
1893,"Phoebe",86
1893,"Monica",25
1893,"Ross",76
1893,"Chandler",NA
1893,"Joey",NA
1894,"Rachel",317
1894,"Phoebe",85
1894,"Monica",22
1894,"Ross",110
1894,"Chandler",NA
1894,"Joey",NA
1895,"Rachel",351
1895,"Phoebe",90
1895,"Monica",20
1895,"Ross",73
1895,"Chandler",NA
1895,"Joey",NA
1896,"Rachel",348
1896,"Phoebe",106
1896,"Monica",36
1896,"Ross",83
1896,"Chandler",NA
1896,"Joey",NA
1897,"Rachel",297
1897,"Phoebe",72
1897,"Monica",34
1897,"Ross",62
1897,"Chandler",NA
1897,"Joey",NA
1898,"Rachel",367
1898,"Phoebe",79
1898,"Monica",41
1898,"Ross",75
1898,"Chandler",NA
1898,"Joey",NA
1899,"Rachel",329
1899,"Phoebe",84
1899,"Monica",30
1899,"Ross",95
1899,"Chandler",NA
1899,"Joey",NA
1900,"Rachel",384
1900,"Phoebe",71
1900,"Monica",39
1900,"Ross",83
1900,"Chandler",5
1900,"Joey",NA
1901,"Rachel",369
1901,"Phoebe",54
1901,"Monica",44
1901,"Ross",72
1901,"Chandler",NA
1901,"Joey",NA
1902,"Rachel",393
1902,"Phoebe",87
1902,"Monica",33
1902,"Ross",90
1902,"Chandler",NA
1902,"Joey",NA
1903,"Rachel",383
1903,"Phoebe",68
1903,"Monica",36
1903,"Ross",67
1903,"Chandler",NA
1903,"Joey",NA
1904,"Rachel",356
1904,"Phoebe",63
1904,"Monica",54
1904,"Ross",73
1904,"Chandler",NA
1904,"Joey",NA
1905,"Rachel",421
1905,"Phoebe",87
1905,"Monica",53
1905,"Ross",74
1905,"Chandler",NA
1905,"Joey",NA
1906,"Rachel",366
1906,"Phoebe",53
1906,"Monica",52
1906,"Ross",88
1906,"Chandler",NA
1906,"Joey",NA
1907,"Rachel",420
1907,"Phoebe",82
1907,"Monica",61
1907,"Ross",76
1907,"Chandler",6
1907,"Joey",NA
1908,"Rachel",425
1908,"Phoebe",76
1908,"Monica",62
1908,"Ross",99
1908,"Chandler",NA
1908,"Joey",NA
1909,"Rachel",462
1909,"Phoebe",78
1909,"Monica",71
1909,"Ross",81
1909,"Chandler",6
1909,"Joey",NA
1910,"Rachel",543
1910,"Phoebe",90
1910,"Monica",79
1910,"Ross",103
1910,"Chandler",NA
1910,"Joey",NA
1911,"Rachel",537
1911,"Phoebe",87
1911,"Monica",83
1911,"Ross",140
1911,"Chandler",5
1911,"Joey",NA
1912,"Rachel",703
1912,"Phoebe",104
1912,"Monica",130
1912,"Ross",240
1912,"Chandler",18
1912,"Joey",NA
1913,"Rachel",827
1913,"Phoebe",112
1913,"Monica",164
1913,"Ross",305
1913,"Chandler",9
1913,"Joey",NA
1914,"Rachel",979
1914,"Phoebe",177
1914,"Monica",156
1914,"Ross",366
1914,"Chandler",22
1914,"Joey",NA
1915,"Rachel",1212
1915,"Phoebe",198
1915,"Monica",196
1915,"Ross",451
1915,"Chandler",24
1915,"Joey",6
1916,"Rachel",1336
1916,"Phoebe",199
1916,"Monica",278
1916,"Ross",463
1916,"Chandler",26
1916,"Joey",9
1917,"Rachel",1344
1917,"Phoebe",227
1917,"Monica",252
1917,"Ross",512
1917,"Chandler",28
1917,"Joey",NA
1918,"Rachel",1548
1918,"Phoebe",215
1918,"Monica",223
1918,"Ross",577
1918,"Chandler",25
1918,"Joey",7
1919,"Rachel",1496
1919,"Phoebe",193
1919,"Monica",178
1919,"Ross",582
1919,"Chandler",36
1919,"Joey",15
1920,"Rachel",1492
1920,"Phoebe",220
1920,"Monica",215
1920,"Ross",548
1920,"Chandler",39
1920,"Joey",5
1921,"Rachel",1593
1921,"Phoebe",199
1921,"Monica",247
1921,"Ross",525
1921,"Chandler",26
1921,"Joey",19
1922,"Rachel",1551
1922,"Phoebe",193
1922,"Monica",206
1922,"Ross",584
1922,"Chandler",37
1922,"Joey",18
1923,"Rachel",1489
1923,"Phoebe",194
1923,"Monica",199
1923,"Ross",581
1923,"Chandler",25
1923,"Joey",13
1924,"Rachel",1600
1924,"Phoebe",197
1924,"Monica",223
1924,"Ross",595
1924,"Chandler",26
1924,"Joey",23
1925,"Rachel",1447
1925,"Phoebe",192
1925,"Monica",198
1925,"Ross",568
1925,"Chandler",27
1925,"Joey",19
1926,"Rachel",1397
1926,"Phoebe",162
1926,"Monica",190
1926,"Ross",537
1926,"Chandler",27
1926,"Joey",21
1927,"Rachel",1293
1927,"Phoebe",169
1927,"Monica",189
1927,"Ross",453
1927,"Chandler",28
1927,"Joey",19
1928,"Rachel",1189
1928,"Phoebe",177
1928,"Monica",218
1928,"Ross",488
1928,"Chandler",22
1928,"Joey",26
1929,"Rachel",1225
1929,"Phoebe",148
