"year","Rachel","Phoebe","Monica","Ross","Chandler","Joey"
1880,166,50,6,69,NA,NA
1881,157,46,10,82,NA,NA
1882,203,62,NA,96,NA,NA
1883,174,66,5,88,NA,NA
1884,230,75,8,110,NA,NA
1885,212,72,10,109,NA,NA
1886,213,80,10,107,NA,NA
1887,226,63,13,85,NA,NA
1888,281,65,13,90,NA,NA
1889,266,67,14,115,NA,NA
1890,318,74,17,101,NA,NA
1891,267,84,25,91,NA,NA
1892,369,88,27,90,NA,NA
1893,321,86,25,76,NA,NA
1894,317,85,22,110,NA,NA
1895,351,90,20,73,NA,NA
1896,348,106,36,83,NA,NA
1897,297,72,34,62,NA,NA
1898,367,79,41,75,NA,NA
1899,329,84,30,95,NA,NA
1900,384,71,39,83,5,NA
1901,369,54,44,72,NA,NA
1902,393,87,33,90,NA,NA
1903,383,68,36,67,NA,NA
1904,356,63,54,73,NA,NA
1905,421,87,53,74,NA,NA
1906,366,53,52,88,NA,NA
1907,420,82,61,76,6,NA
1908,425,76,62,99,NA,NA
1909,462,78,71,81,6,NA
1910,543,90,79,103,NA,NA
1911,537,87,83,140,5,NA
1912,703,104,130,240,18,NA
1913,827,112,164,305,9,NA
1914,979,177,156,366,22,NA
1915,1212,198,196,451,24,6
1916,1336,199,278,463,26,9
1917,1344,227,252,512,28,NA
1918,1548,215,223,577,25,7
1919,1496,193,178,582,36,15
1920,1492,220,215,548,39,5
1921,1593,199,247,525,26,19
1922,1551,193,206,584,37,18
1923,1489,194,199,581,25,13
1924,1600,197,223,595,26,23
1925,1447,192,198,568,27,19
1926,1397,162,190,537,27,21
1927,1293,169,189,453,28,19
1928,1189,177,218,488,22,26
1929,1225,148,182,414,21,22
1930,1267,164,168,498,14,29
1931,1171,143,192,461,28,31
1932,1266,146,215,423,18,40
1933,1151,143,213,415,25,36
1934,1194,127,259,447,29,37
1935,1210,127,332,427,25,44
1936,1224,139,273,481,20,43
1937,1241,121,292,465,23,49
1938,1288,151,269,485,15,42
1939,1354,143,255,485,22,59
1940,1271,150,286,458,11,69
1941,1402,155,261,518,15,60
1942,1436,127,325,556,24,118
1943,1379,128,299,584,23,145
1944,1249,112,342,571,20,157
1945,1215,101,400,560,18,140
1946,1234,117,457,650,22,137
1947,1447,127,614,789,32,188
1948,1388,105,852,720,19,168
1949,1444,107,826,763,21,169
1950,1453,99,1057,774,23,215
1951,1442,109,1298,888,22,222
1952,1612,100,1465,908,17,260
1953,1786,95,1598,919,16,357
1954,1809,130,1827,1000,24,531
1955,1815,120,1812,1027,23,720
1956,1679,109,2160,992,26,975
1957,1832,105,2487,957,32,1077
1958,1666,110,2422,1040,22,1111
1959,1754,116,2600,1029,25,1147
1960,1791,116,3096,1050,28,1229
1961,2063,119,3402,1022,31,1286
1962,1947,110,4017,1145,38,1571
1963,2184,106,4007,1140,31,1401
1964,2267,100,4665,1023,31,1399
1965,2025,75,5128,987,27,1146
1966,2285,106,4730,916,34,1086
1967,3327,137,4971,797,50,1151
1968,3738,96,5225,846,51,1256
1969,5260,100,6062,892,83,1332
1970,6048,111,6220,881,108,1337
1971,6154,113,6456,864,99,1238
1972,6430,112,6153,709,100,1096
1973,6127,118,6417,726,64,1081
1974,7432,95,6314,681,53,1087
1975,8248,112,5510,685,66,1063
1976,8484,107,6015,680,73,1364
1977,9014,151,6397,823,55,1412
1978,9844,115,5896,924,68,1219
1979,10276,100,6620,1012,77,1268
1980,11679,84,6077,1045,85,1281
1981,12636,83,5814,1241,88,1173
1982,13933,80,5773,1478,108,1075
1983,14635,92,5438,1355,109,871
1984,15920,106,5156,1759,136,799
1985,16435,117,5019,1899,134,811
1986,15508,139,5049,1789,162,701
1987,15706,109,4843,1672,234,760
1988,15406,121,4487,1783,265,665
1989,15462,189,4539,1797,366,647
1990,15745,225,4472,1627,480,728
1991,16374,233,4182,1452,557,712
1992,15863,194,4611,1277,990,627
1993,15997,214,3924,942,1394,706
1994,15511,247,3932,838,1274,607
1995,16072,396,3980,1047,2600,574
1996,16140,432,4342,1041,2678,519
1997,13810,419,4232,795,2212,497
1998,12219,397,3242,789,2364,474
1999,11641,527,2133,672,2842,519
2000,10685,641,1990,566,2457,561
2001,9545,752,1799,503,2032,530
2002,8938,665,1778,425,1640,540
2003,7995,688,1613,383,1442,626
2004,6948,756,1521,356,1266,629
2005,6226,730,1409,313,1026,628
2006,5534,890,1362,283,885,600
2007,4832,988,1190,261,809,603
2008,4083,959,1061,258,729,557
2009,3587,1016,972,227,679,506
2010,3016,1038,886,218,640,506
2011,2655,1022,776,214,755,497
2012,2420,1060,722,212,756,486
2013,2311,1059,597,193,869,453
2014,2086,1102,575,184,952,486
2015,1927,1117,555,166,979,411
2016,1869,1028,517,191,916,507
2017,1591,1012,469,167,836,440
