id,title,release_date,imdb_score
1,Shrek 2,SummerVacation,7.2
1,Avatar,Christmas,7.8
1,Toy Story 3,SummerVacation,8.3
1,Star Wars: Episode VIII - The Last Jedi,Christmas,7.1
1,The Dark Knight,SummerVacation,9
1,Harry Potter and the Deathly Hallows: Part 2,SummerVacation,8.1
1,Captain America: Civil War,SummerVacation,7.8
1,The Avengers,SummerVacation,8
1,Pirates of the Caribbean: Dead Man's Chest,SummerVacation,7.3
1,Pirates of the Caribbean: At World's End,SummerVacation,7.1
1,Mission: Impossible II,SummerVacation,6.1
1,Avengers: Infinity War,Easter,8.5
1,Avengers: Endgame,Easter,8.5
1,Star Wars: Episode VII - The Force Awakens,Christmas,7.9
1,Frozen,Christmas,7.5
1,Transformers: Age of Extinction,SummerVacation,5.6
2,Star Wars: Episode III - Revenge of the Sith,SummerVacation,7.5
2,Alice in Wonderland,Easter,6.4
2,Iron Man 3,SummerVacation,7.2
2,The Da Vinci Code,SummerVacation,6.6
2,Gladiator,SummerVacation,8.5
2,Indiana Jones and the Kingdom of the Crystal Skull,SummerVacation,6.1
2,The Lion King,SummerVacation,7
2,Rogue One: A Star Wars Story,Christmas,7.8
2,Transformers: Dark of the Moon,SummerVacation,6.2
2,Finding Nemo,SummerVacation,8.1
2,Jurassic World,SummerVacation,7
2,Beauty and the Beast,Easter,7.2
2,Black Panther,Other,7.3
3,Spider-Man,SummerVacation,7.3
3,Spider-Man 2,SummerVacation,7.3
3,Despicable Me 2,SummerVacation,7.3
3,Kung Fu Panda,SummerVacation,7.5
3,Ice Age: The Meltdown,Easter,6.8
3,Ice Age: Dawn of the Dinosaurs,SummerVacation,6.9
3,Guardians of the Galaxy,SummerVacation,8
3,Spider-Man 3,SummerVacation,6.2
3,Spider-Man: Far from Home,SummerVacation,7.6
3,Furious 7,Easter,7.2
3,Pirates of the Caribbean: On Stranger Tides,SummerVacation,6.6
3,Cast Away,Christmas,7.8
3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Christmas,6.9
3,Finding Dory,SummerVacation,7.3
3,Jurassic World: Fallen Kingdom,SummerVacation,6.2
4,Shrek,SummerVacation,7.8
4,War of the Worlds,SummerVacation,6.5
4,The Incredibles,Christmas,8
4,Shrek the Third,SummerVacation,6
4,What Women Want,Christmas,6.4
4,Hancock,SummerVacation,6.4
4,Despicable Me 3,SummerVacation,6.3
4,The Hobbit: The Desolation of Smaug,Christmas,7.8
4,Pirates of the Caribbean: The Curse of the Black Pearl,SummerVacation,8
4,Transformers: Revenge of the Fallen,SummerVacation,6
4,Zootopia,Easter,8
4,Captain Marvel,Easter,6.9
4,Inception,SummerVacation,8.8
4,Avengers: Age of Ultron,SummerVacation,7.3
4,Incredibles 2,SummerVacation,7.7
