content,start,phase
Iron Man,2008/5/2,1
Iron Man2,2010/5/7,1
Captain America,2011/7/21,1
Thor,2011/5/6,1
Avengers,2012/5/4,1
Iron Man3,2013/5/3,2
Thor2,2013/11/8,2
Captain America2,2014/4/4,2
Guardians of the Galaxy,2014/8/1,2
Avengers2,2015/5/1,2
Ant Man,2015/7/17,3
Captain America3,2016/5/6,3
Doctor Strange,2016/11/4,3
Guardians of the Galaxy2,2017/5/5,3
Spider Man:Homecoming,2017/7/7,3
Thor3,2017/11/3,3
Avengers3,2018/4/27,3
Ant Man2,2018/7/6,3
Black Panther,2018/2/16,3
Captain Marvel,2019/3/8,3
Avengers4,2019/4/26,3
Spider Man:Far From Home,2019/6/28,4
