Item,Amount
(Increase) Decrease in Reserves 2012,-37
Administrative expenses 2012,-44
Investment Income 2012,37
Net Premium Income 2012,62
Translation (Losses) Gains 2012,-12
(Increase) Decrease in Reserves 2013,-57
Administrative expenses 2013,-47
Investment Income 2013,34
Net Premium Income 2013,66
Translation (Losses) Gains 2013,0
(Increase) Decrease in Reserves 2014,-13
Administrative expenses 2014,-45
Investment Income 2014,53
Net Premium Income 2014,72
Translation (Losses) Gains 2014,3
(Increase) Decrease in Reserves 2015,-51
Administrative expenses 2015,-45
Investment Income 2015,24
Net Premium Income 2015,79
Translation (Losses) Gains 2015,-18
(Increase) Decrease in Reserves 2016,-4
Administrative expenses 2016,-48
Investment Income 2016,23
Net Premium Income 2016,86
Translation (Losses) Gains 2016,0
(Increase) Decrease in Reserves 2017,154
Administrative expenses 2017,-51
Investment Income 2017,5
Miscellaneous Income 2017,1
Net Premium Income 2017,93
Translation (Losses) Gains 2017,-2
(Increase) Decrease in Reserves 2018,-28
Administrative expenses 2018,-52
Investment Income 2018,16
Miscellaneous Income 2018,0
Net Premium Income 2018,104
Translation (Losses) Gains 2018,0
(Increase) Decrease in Reserves 2019,-12
Administrative expenses 2019 ,-58
Investment Income 2019,38
Miscellaneous Income 2019,0
Net Premium Income 2019,115
Translation (Losses) Gains 2019,-2
Net Premium Income 2020,30
Investment Income 2020,9
Miscellaneous Income 2020,0
(Increase) Decrease in Reserves 2020,3
Administrative expenses 2020,-14
Translation (Losses) Gains 2020,-4
