name,size,shortName
Avengers: Endgame,1,Avengers: E
Avatar,1,Avatar
Titanic,1,Titanic
Star Wars: Episode VII - The Force Awakens,1,Star Wars: Episode VII
Avengers: Infinity War,1,Avengers: Infinity W
Jurassic World,1,Jurassic World
The Lion King,1,The Lion King
The Avengers,1,The Avengers
Furious 7,1,Furious 7
Frozen 7,1,Frozen 7
Avengers: Age of Ultron,1,Avengers: Age of U
Harry Potter and the Deathly Hallows: Part 2,1,Harry Potter and theDH
Black Panther,1,Black Panther
Star Wars: Episode VIII - The Last Jedi,1,Star Wars: Episode VIII
Jurassic World: Fallen Kingdom,1,Jurassic World: F K
Action,1,Action
Adventure,1,Adventure
Science,1,Science
Disaster,1,Disaster
Romance,1,Romance
movie,1,movie
type,1,type
final,0,final
