from,to
Avengers: Endgame,Action
Avengers: Endgame,Science
Avatar,Action
Avatar,Science
Titanic,Disaster
Titanic,Romance
Star Wars: Episode VII - The Force Awakens,Action
Star Wars: Episode VII - The Force Awakens,Science
Avengers: Infinity War,Action
Avengers: Infinity War,Science
Jurassic World,Adventure
Jurassic World,Science
The Lion King,Adventure
The Avengers,Action
The Avengers,Science
Furious 7,Action
Frozen 7,Science
Avengers: Age of Ultron,Action
Avengers: Age of Ultron,Science
Harry Potter and the Deathly Hallows: Part 2,Action
Harry Potter and the Deathly Hallows: Part 2,Science
Black Panther,Adventure
Star Wars: Episode VIII - The Last Jedi,Action
Star Wars: Episode VIII - The Last Jedi,Science
Jurassic World: Fallen Kingdom,Adventure
