type,rmb,sold,brand,region,lnrmb
Apple iPhone,3459.9,597,Apple,not-china,8.148994966
Apple iPhone 11,6919.89,6205,Apple,not-china,8.842155153
Apple iPhone 11 Pro,8601.13,4473,Apple,not-china,9.059648869
Apple iPhone 11 Pro Max,10402.09,7087,Apple,not-china,9.249762026
Apple iPhone 4,787.2,130,Apple,not-china,6.668482346
Apple iPhone 4 CDMA,945.5,8,Apple,not-china,6.851713888
Apple iPhone 4s,712.68,626,Apple,not-china,6.569032512
Apple iPhone 5,1205.24,1215,Apple,not-china,7.094433996
Apple iPhone 5c,913.66,357,Apple,not-china,6.817458511
Apple iPhone 5s,1290.91,3254,Apple,not-china,7.163102675
Apple iPhone 6,1742.9,6736,Apple,not-china,7.463305672
Apple iPhone 6 Plus,2383.67,2728,Apple,not-china,7.776396596
Apple iPhone 6s,1728.6,9448,Apple,not-china,7.455067111
Apple iPhone 6s Plus,2287.65,5881,Apple,not-china,7.735280369
Apple iPhone 7,2945.34,11418,Apple,not-china,7.987979539
Apple iPhone 7 Plus,3725.25,13582,Apple,not-china,8.222889243
Apple iPhone 8,4174.63,2735,Apple,not-china,8.336781011
Apple iPhone 8 Plus,4409.24,3936,Apple,not-china,8.391457618
Apple iPhone SE,1813.48,1359,Apple,not-china,7.50300293
Apple iPhone X,5887.84,8428,Apple,not-china,8.680644486
Apple iPhone XR,5584.2,8067,Apple,not-china,8.62769646
Apple iPhone XS,6881.15,4179,Apple,not-china,8.836541068
Apple iPhone XS Max,7771.07,8519,Apple,not-china,8.958163143
Asus Live G500TG,717.81,20,ASUS,china,6.57620491
Asus ROG Phone II ZS660KL,4796.89,5590,ASUS,china,8.47572307
Asus Zenfone 2 Deluxe ZE551ML,1061.27,1609,ASUS,china,6.967221583
Asus Zenfone 3 Deluxe 5.5 ZS550KL,675.36,29,ASUS,china,6.515245882
Asus Zenfone 3 Max ZC520TL,736.54,324,ASUS,china,6.601963545
Asus Zenfone 3 Max ZC553KL,1013.04,55,ASUS,china,6.92071099
Asus Zenfone 3 ZE520KL,1181.88,980,ASUS,china,7.07486167
Asus Zenfone 4 Max Plus ZC554KL,1207.39,568,ASUS,china,7.096216284
Asus Zenfone 4 Max Pro ZC554KL,1162.33,2191,ASUS,china,7.05818189
Asus Zenfone 4 Max ZC520KL,548.61,220,ASUS,china,6.307387807
Asus Zenfone 4 Selfie Lite ZB553KL,1686.95,384,ASUS,china,7.430677444
Asus Zenfone 4 Selfie Pro ZD552KL,847.26,91,ASUS,china,6.742007613
Asus Zenfone 4 Selfie ZD553KL,710.94,2227,ASUS,china,6.566588038
Asus Zenfone 5 A501CG (2015),1048.32,897,ASUS,china,6.954944162
Asus Zenfone 5 Lite ZC600KL,1598.09,522,ASUS,china,7.376564445
Asus Zenfone 5 ZE620KL,1352.92,9185,ASUS,china,7.210020499
Asus Zenfone 5z ZS620KL,3376.8,379,ASUS,china,8.124683794
Asus Zenfone 6 ZS630KL,3535.03,503,ASUS,china,8.170477065
Asus Zenfone Go T500,553.19,1659,ASUS,china,6.315701523
Asus ZenFone Lite (L1) ZA551KL,482.4,153,ASUS,china,6.178773645
Asus ZenFone Live (L1) ZA550KL,515.96,9382,ASUS,china,6.246029243
Asus ZenFone Live (L2),527.93,5138,ASUS,china,6.268963699
Asus Zenfone Live ZB501KL,603,780,ASUS,china,6.401917197
Asus Zenfone Max (M1) ZB555KL,613.78,11984,ASUS,china,6.419636558
