PhoneModel,BrandCountry,Brand,PriceRMB,Sold
Apple iPhone,USA,Apple,3459.9,597
Apple iPhone 11,USA,Apple,6919.89,6205
Apple iPhone 11 Pro,USA,Apple,8601.13,4473
Apple iPhone 11 Pro Max,USA,Apple,10402.09,7087
Apple iPhone 4,USA,Apple,787.2,130
Apple iPhone 4 CDMA,USA,Apple,945.5,8
Apple iPhone 4s,USA,Apple,712.68,626
Apple iPhone 5,USA,Apple,1205.24,1215
Apple iPhone 5c,USA,Apple,913.66,357
Apple iPhone 5s,USA,Apple,1290.91,3254
Apple iPhone 6,USA,Apple,1742.9,6736
Apple iPhone 6 Plus,USA,Apple,2383.67,2728
Apple iPhone 6s,USA,Apple,1728.6,9448
Apple iPhone 6s Plus,USA,Apple,2287.65,5881
Apple iPhone 7,USA,Apple,2945.34,11418
Apple iPhone 7 Plus,USA,Apple,3725.25,13582
Apple iPhone 8,USA,Apple,4174.63,2735
Apple iPhone 8 Plus,USA,Apple,4409.24,3936
Apple iPhone SE,USA,Apple,1813.48,1359
Apple iPhone X,USA,Apple,5887.84,8428
Apple iPhone XR,USA,Apple,5584.2,8067
Apple iPhone XS,USA,Apple,6881.15,4179
Apple iPhone XS Max,USA,Apple,7771.07,8519
Asus Live G500TG,China,ASUS,717.81,20
Asus ROG Phone II ZS660KL,China,ASUS,4796.89,5590
Asus Zenfone 2 Deluxe ZE551ML,China,ASUS,1061.27,1609
Asus Zenfone 3 Deluxe 5.5 ZS550KL,China,ASUS,675.36,29
Asus Zenfone 3 Max ZC520TL,China,ASUS,736.54,324
Asus Zenfone 3 Max ZC553KL,China,ASUS,1013.04,55
Asus Zenfone 3 ZE520KL,China,ASUS,1181.88,980
Asus Zenfone 4 Max Plus ZC554KL,China,ASUS,1207.39,568
Asus Zenfone 4 Max Pro ZC554KL,China,ASUS,1162.33,2191
Asus Zenfone 4 Max ZC520KL,China,ASUS,548.61,220
Asus Zenfone 4 Selfie Lite ZB553KL,China,ASUS,1686.95,384
Asus Zenfone 4 Selfie Pro ZD552KL,China,ASUS,847.26,91
Asus Zenfone 4 Selfie ZD553KL,China,ASUS,710.94,2227
Asus Zenfone 5 A501CG (2015),China,ASUS,1048.32,897
Asus Zenfone 5 Lite ZC600KL,China,ASUS,1598.09,522
Asus Zenfone 5 ZE620KL,China,ASUS,1352.92,9185
Asus Zenfone 5z ZS620KL,China,ASUS,3376.8,379
Asus Zenfone 6 ZS630KL,China,ASUS,3535.03,503
Asus Zenfone Go T500,China,ASUS,553.19,1659
Asus ZenFone Lite (L1) ZA551KL,China,ASUS,482.4,153
Asus ZenFone Live (L1) ZA550KL,China,ASUS,515.96,9382
Asus ZenFone Live (L2),China,ASUS,527.93,5138
Asus Zenfone Live ZB501KL,China,ASUS,603,780
Asus Zenfone Max (M1) ZB555KL,China,ASUS,613.78,11984
Asus Zenfone Max (M2) ZB633KL,China,ASUS,891.3,4060
Asus Zenfone Max Pro (M1) ZB601KL/ZB602K,China,ASUS,1016.11,38010
Asus Zenfone Max Pro (M2) ZB631KL,China,ASUS,1782.95,2556
Asus Zenfone Selfie ZD551KL,China,ASUS,1206,147
Honor 10,China,Honor,2894.4,176
Honor 10 Lite,China,Honor,1099.65,1109
Honor 7,China,Honor,955.15,54
Honor 7A,China,Honor,1345.41,218
Honor 7S,China,Honor,537.68,701
Honor 8A Pro,China,Honor,828.01,225
Honor 8X,China,Honor,1776.99,1493
Honor 9 Lite,China,Honor,746.72,1091
Honor 9N (9i),China,Honor,900.4,233
Huawei Ascend Y540,China,Huawei,674.88,110
Huawei Enjoy 10,China,Huawei,2412,224
Huawei Enjoy 9,China,Huawei,2556.72,168
Huawei Mate 10,China,Huawei,3135.6,230
Huawei Mate 10 Lite,China,Huawei,904.5,182
Huawei Mate 10 Pro,China,Huawei,3502.22,55
Huawei Mate 20 Pro,China,Huawei,6271.2,140
Huawei Mate 20 X,China,Huawei,1555.5,158
Huawei Mate 30,China,Huawei,3851.96,6
Huawei Mate 30 Pro,China,Huawei,5125.68,1002
Huawei nova 2,China,Huawei,1491.49,650
Huawei nova 3i,China,Huawei,1608.72,1324
Huawei nova 4,China,Huawei,1442.38,26
Huawei nova 5T,China,Huawei,2239.68,16666
Huawei nova 7 5G,China,Huawei,1157.76,21
Huawei P10 Plus,China,Huawei,2412,130
Huawei P20,China,Huawei,4003.92,27
Huawei P20 Pro,China,Huawei,4702.92,108
Huawei P30,China,Huawei,4823.68,1093
Huawei P30 lite,China,Huawei,1643.4,5355
Huawei P30 lite New Edition,China,Huawei,1062.18,1304
Huawei P30 Pro,China,Huawei,4576.55,3802
Huawei P8 Lite (2017),China,Huawei,455.87,6
Huawei Y5II,China,Huawei,504.71,50
Huawei Y6,China,Huawei,578.88,276
Huawei Y6 (2018),China,Huawei,650.76,100
Huawei Y6 Pro (2019),China,Huawei,1688.4,180
Huawei Y7 Pro (2018),China,Huawei,968.18,381
Huawei Y7 Pro (2019),China,Huawei,1121.58,1811
Infinix Hot 4 Pro,China,Infinix,759.64,82
Infinix Hot 5,China,Infinix,769.43,120
Infinix Hot 6,China,Infinix,751.79,902
Infinix Hot 7 Pro,China,Infinix,1028.06,2638
Infinix Hot 8,China,Infinix,741.51,40471
Infinix Hot 9,China,Infinix,914.15,39
Infinix Hot S,China,Infinix,683.8,6
Infinix Hot S3,China,Infinix,1055.01,170
Infinix Note 4,China,Infinix,9643.18,145
Infinix Note 5,China,Infinix,1206,300
Infinix S4,China,Infinix,1271.12,483
Infinix S5,China,Infinix,1010.63,3038
Infinix S5 lite,China,Infinix,802.55,3916
Infinix Smart,China,Infinix,753.75,220
Infinix Smart 4,China,Infinix,584.98,7385
Infinix Zero 5,China,Infinix,2074.32,188
Nokia 1,Finland,Nokia,707.43,1800
Nokia 1 Plus,Finland,Nokia,952.74,1200
Nokia 2,Finland,Nokia,723.12,28
Nokia 2.2,Finland,Nokia,676.68,1559
Nokia 3,Finland,Nokia,771.84,274
Nokia 3.1 A,Finland,Nokia,960.46,138
Nokia 3.1 Plus,Finland,Nokia,1141.66,220
Nokia 4.2,Finland,Nokia,1073.1,372
Nokia 5,Finland,Nokia,916.56,174
Nokia 6.1 Plus (Nokia X6),Finland,Nokia,1435.48,6564
Nokia 7.1,Finland,Nokia,2412,120
Nokia 7.2,Finland,Nokia,2653.2,146
Nokia 8.1 (Nokia X7),Finland,Nokia,3376.8,84
Oppo A1k,China,OPPO,800.02,27624
Oppo A31 (2015),China,OPPO,1241.32,1441
Oppo A31 (2020),China,OPPO,1222.82,1264
Oppo A37,China,OPPO,731.27,19257
Oppo A39,China,OPPO,791.04,344
Oppo A3s,China,OPPO,948.06,48227
Oppo A5 (2020),China,OPPO,1240.94,35490
Oppo A5 (AX5),China,OPPO,1288.08,1770
Oppo A57,China,OPPO,1231.54,2815
Oppo A5s (AX5s),China,OPPO,941.94,89500
Oppo A7,China,OPPO,1128.19,15172
Oppo A71 (2017),China,OPPO,906.99,2165
Oppo A7x,China,OPPO,2026.08,49
Oppo A83,China,OPPO,1007.77,6645
Oppo A9,China,OPPO,1749.89,39767
Oppo A91,China,OPPO,1756.9,47
