date,aqi,pm2.5,pm10,so2,co,no2,o3,year,month,week
2018/12/31,70,38,59,10,0.9,56,20,2018,12,53
2018/12/30,47,15,32,4,0.5,37,42,2018,12,52
2018/12/29,33,10,28,5,0.4,26,52,2018,12,52
2018/12/28,39,9,39,4,0.4,19,50,2018,12,52
2018/12/27,51,7,52,4,0.3,10,54,2018,12,52
2018/12/26,33,9,26,4,0.4,26,50,2018,12,52
2018/12/25,58,27,66,7,0.7,35,55,2018,12,52
2018/12/24,78,51,93,10,1,62,19,2018,12,52
2018/12/23,52,13,53,3,0.4,22,58,2018,12,51
2018/12/22,66,34,82,7,0.8,41,53,2018,12,51
2018/12/21,94,70,117,12,1.3,70,43,2018,12,51
2018/12/20,93,51,93,11,1.2,74,10,2018,12,51
2018/12/19,78,34,72,8,1,62,25,2018,12,51
2018/12/18,67,27,58,6,0.8,53,53,2018,12,51
2018/12/17,57,25,53,6,0.6,45,53,2018,12,51
2018/12/16,88,65,107,8,1.2,59,54,2018,12,50
2018/12/15,120,91,116,14,1.5,85,12,2018,12,50
2018/12/14,83,48,76,11,1,66,23,2018,12,50
2018/12/13,49,13,40,5,0.5,39,58,2018,12,50
2018/12/12,73,31,64,7,0.8,58,31,2018,12,50
2018/12/11,52,21,54,6,0.6,32,52,2018,12,50
2018/12/10,83,58,89,12,1.1,66,18,2018,12,50
2018/12/9,73,41,71,9,0.9,58,26,2018,12,49
2018/12/8,36,11,36,3,0.3,22,60,2018,12,49
2018/12/7,38,6,38,3,0.3,12,56,2018,12,49
2018/12/6,37,9,37,3,0.4,15,54,2018,12,49
2018/12/5,77,39,103,10,1.1,59,8,2018,12,49
2018/12/4,61,14,71,3,0.4,25,58,2018,12,49
2018/12/3,0,0,0,3,0.5,21,57,2018,12,49
2018/12/2,232,182,227,7,2.6,85,5,2018,12,48
2018/12/1,175,132,199,10,2,82,30,2018,12,48
2018/11/30,123,93,184,12,1.9,83,16,2018,11,48
2018/11/29,101,58,152,14,1.6,65,17,2018,11,48
2018/11/28,116,56,181,15,1.3,68,12,2018,11,48
2018/11/27,163,50,275,3,0.5,31,61,2018,11,48
2018/11/26,266,216,231,11,2.4,105,15,2018,11,48
2018/11/25,119,90,112,8,1.4,73,24,2018,11,47
2018/11/24,123,93,106,9,1.2,63,46,2018,11,47
2018/11/23,93,69,98,13,1.4,66,13,2018,11,47
2018/11/22,68,28,64,6,0.7,54,37,2018,11,47
2018/11/21,49,21,49,4,0.5,35,55,2018,11,47
2018/11/20,69,40,87,6,0.8,54,50,2018,11,47
2018/11/19,83,47,92,10,1.1,66,17,2018,11,47
2018/11/18,64,30,77,5,0.7,42,63,2018,11,46
2018/11/17,78,44,76,7,0.8,62,24,2018,11,46
2018/11/16,39,14,28,3,0.4,31,52,2018,11,46
2018/11/15,84,62,57,3,0.8,32,52,2018,11,46
2018/11/14,270,220,164,4,2.2,75,37,2018,11,46
2018/11/13,230,180,159,6,1.7,78,33,2018,11,46
2018/11/12,132,100,119,7,1.2,75,33,2018,11,46
2018/11/11,72,46,80,5,0.7,57,49,2018,11,45
2018/11/10,50,13,38,3,0.4,40,37,2018,11,45
2018/11/9,54,31,58,3,0.6,41,61,2018,11,45
2018/11/8,94,70,101,6,1.2,73,14,2018,11,45
2018/11/7,65,28,55,4,0.7,52,16,2018,11,45
2018/11/6,50,14,31,3,0.5,40,40,2018,11,45
2018/11/5,47,20,27,2,0.5,37,30,2018,11,45
2018/11/4,102,76,69,3,0.8,48,23,2018,11,44
2018/11/3,211,161,148,8,1.7,89,81,2018,11,44
2018/11/2,152,116,126,8,1.5,96,31,2018,11,44
2018/11/1,80,51,77,6,0.9,64,58,2018,11,44
2018/10/31,62,23,51,4,0.8,49,45,2018,10,44
2018/10/30,49,11,33,3,0.4,39,65,2018,10,44
2018/10/29,31,5,20,2,0.3,21,62,2018,10,44
2018/10/28,36,4,29,2,0.2,11,72,2018,10,43
2018/10/27,33,10,32,3,0.3,26,57,2018,10,43
2018/10/26,45,5,45,3,0.2,11,56,2018,10,43
2018/10/25,112,84,123,9,1.5,74,29,2018,10,43
2018/10/24,85,45,95,4,0.9,68,37,2018,10,43
