"FIPS","GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio"
"SA","SA","Saudi Arabia","2023","TOTAL","35939806","100","20349411","100","15590395","100","1.3052530740882446"
"SA","SA","Saudi Arabia","2023","0","494327","1.3754303515160877","252763","1.2421145752080982","241564","1.5494411783665518","1.0463603848255534"
"SA","SA","Saudi Arabia","2023","1","495889","1.3797765074190995","253258","1.2445470780456496","242631","1.5562851358159944","1.0437990199108935"
"SA","SA","Saudi Arabia","2023","2","502139","1.3971666958914581","256202","1.2590143272451473","245937","1.5774904997596275","1.0417383313612836"
"SA","SA","Saudi Arabia","2023","3","511583","1.4234439662807306","260742","1.2813245552905683","250841","1.6089457643632505","1.0394712188198898"
"SA","SA","Saudi Arabia","2023","4","522930","1.4550162012560668","266233","1.3083081372723762","256697","1.6465073527643141","1.03714885643385"
"SA","SA","Saudi Arabia","2023","5","536550","1.4929128999750305","272899","1.341065842151402","263651","1.691111738990577","1.0350766733295151"
"SA","SA","Saudi Arabia","2023","6","551843","1.5354646043442748","280492","1.3783789614352966","271351","1.7405011226463474","1.0336869958098551"
"SA","SA","Saudi Arabia","2023","7","568419","1.5815861666031252","288947","1.4199280755595334","279472","1.792590886889011","1.0339032174958493"
"SA","SA","Saudi Arabia","2023","8","584245","1.6256209062452927","297265","1.4608039515246904","286980","1.8407487430562215","1.035838734406579"
"SA","SA","Saudi Arabia","2023","9","597140","1.6615003431014626","304348","1.4956108557638352","292792","1.8780281064078235","1.039468291483374"
"SA","SA","Saudi Arabia","2023","10","607217","1.6895388917792156","309814","1.5224715840669787","297403","1.9076040087502595","1.0417312535515781"
"SA","SA","Saudi Arabia","2023","11","614947","1.7110470768818287","313787","1.5419954906802953","301160","1.9317021794508733","1.0419278788683757"
"SA","SA","Saudi Arabia","2023","12","615716","1.7131867656714674","314243","1.5442363417791305","301473","1.9337098258254521","1.0423586855207598"
"SA","SA","Saudi Arabia","2023","13","618396","1.720643678488415","316264","1.5541678331623456","302132","1.937936787361706","1.046774257609257"
"SA","SA","Saudi Arabia","2023","14","607605","1.6906184746795796","311142","1.5289975714776216","296463","1.9015746554208537","1.0495137673166635"
"SA","SA","Saudi Arabia","2023","15","590900","1.6441379789306598","302839","1.4881954077196633","288061","1.847682499385038","1.0513016340289036"
"SA","SA","Saudi Arabia","2023","16","569344","1.5841599144970342","291950","1.4346852594406787","277394","1.7792621675076226","1.0524740982140925"
"SA","SA","Saudi Arabia","2023","17","558542","1.5541041039564878","286529","1.4080456677591306","272013","1.7447473267996096","1.053365096521122"
"SA","SA","Saudi Arabia","2023","18","553676","1.5405647988194482","284439","1.3977751002228025","269237","1.726941491860854","1.0564632647073025"
"SA","SA","Saudi Arabia","2023","19","549027","1.5276292810261691","282895","1.3901876570285008","266132","1.7070253832568063","1.0629875400177355"
"SA","SA","Saudi Arabia","2023","20","544106","1.513936942230573","281093","1.3813323638703843","263013","1.687019475773385","1.0687418492622038"
"SA","SA","Saudi Arabia","2023","21","541306","1.5061461377949563","280182","1.3768555758198602","261124","1.6749030412635473","1.0729844824680994"
"SA","SA","Saudi Arabia","2023","22","542850","1.5104422099551678","281822","1.3849147771402326","261028","1.6742872775192676","1.0796619519745008"
"SA","SA","Saudi Arabia","2023","23","536662","1.493224532152455","280664","1.3792241947445063","255998","1.6420238230012774","1.096352315252463"
"SA","SA","Saudi Arabia","2023","24","534760","1.4879323499965469","281939","1.3854897323563813","252821","1.62164589158902","1.1151723946982253"
"SA","SA","Saudi Arabia","2023","25","536102","1.4916663712653317","285621","1.4035836221500464","250481","1.6066366503222014","1.1402900818824582"
