release_date,opening,gross
2019/9/13,3.3181361,10.4940498
2019/6/28,1.701005,7.328665
2019/10/11,2.0552372,4.854677
2019/9/27,2.06121,6.0352095
2019/9/20,3.1033665,9.6822815
2019/10/11,3.0300007,9.7185807
2019/11/15,3.1474958,9.5271794
2019/4/26,35.7115007,85.8373
2019/4/12,1.2045147,2.1903748
2019/2/13,1.4247758,4.8791187
2019/11/22,1.3251238,4.6949891
2019/11/1,1.167672,4.1463165
2019/4/17,1.1282333,4.0713082
2019/4/12,1.5405455,4.067396
2019/11/8,1.2723781,4.2750818
2019/3/1,2.7062332,7.3257045
2019/6/21,1.4094594,2.9208403
2019/1/11,1.1251263,4.2004346
2019/2/8,1.1030233,3.2138862
2019/2/8,1.8232087,5.4611903
2019/11/8,1.4114124,3.1333352
2019/7/12,1.200521,3.9014193
2019/11/8,1.1441055,3.408084
2019/9/20,1.8872919,4.4819352
2019/5/10,1.3007709,3.5417038
2019/8/9,2.0915346,6.8947075
2019/4/5,2.4502775,5.4724696
2019/3/15,1.5853646,4.5216793
2019/8/16,2.1402605,8.308307
2019/11/8,1.7897419,5.4596847
2019/8/9,1.7431588,6.0477943
2019/8/23,2.1380987,6.9030436
2019/10/18,2.6803104,7.2606263
2019/8/14,1.0354073,4.1657076
2019/2/8,3.4115335,10.5806508
2019/9/20,1.9001398,5.018837
2019/5/31,2.5725722,9.636816
2019/11/27,2.6769548,7.2327248
2019/6/14,3.0035838,8.0001807
2019/3/22,7.1117625,17.500593
2019/6/7,3.2828348,6.5845974
2019/1/18,4.032892,11.1035005
2019/4/5,5.3505326,14.0371656
2019/5/17,5.6818067,17.1015687
2019/6/26,2.0269723,7.4152591
2019/5/31,4.7776293,11.0500138
2019/3/29,4.5990748,11.4766307
2019/11/1,2.9033832,6.197927
2019/2/14,2.8525613,8.571021
2019/2/22,5.5022245,16.0799505
2019/10/18,3.6948713,11.2600631
2019/7/26,4.1082018,14.1037131
2019/5/10,5.4365242,14.4105346
2019/9/6,9.1062152,21.1593228
2019/6/7,4.665268,15.8257265
2019/6/21,12.0908065,43.4038008
2019/11/22,13.0263358,35.1771072
2019/8/2,6.003895,17.38101
2019/5/24,9.1500929,35.5559216
2019/3/8,15.3433423,42.6829839
2019/7/19,19.1770759,54.3638043
2019/7/2,9.2579212,39.0532085
2019/10/4,9.6202337,33.2705374
