"state","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"Alabama",334.99,111.93,157,337.29,10.21,65.22,590.27,265.34,20.78,22.46,496.44,182.64,115.12,297.47,126.15,130.82,252.87,27.33,126.75,127.26,69.09,368.8,50.9,103.24,351.72,93.99,280.39,69.68,231.75,299.79,242.34,108.19,63.33,78.01,71.58,34.74,533.68,68.2,52.38,38.98,4.65,0.36,13.94,55.24,4.02,0.42,0.58,0.13,NA,2.06,3.43,3.35,0.57,NA,0.05,0.03,NA,NA,0.02,0.09,0.02,1.46,0.65,0.02,NA,0.02,NA,NA,NA,0.14,NA,NA,NA,NA,0.16,NA
"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691.67,241.87,1120.98,414.7,562.06,816.55,635.79,420.96,571.54,722.27,439.89,79.38,236.57,53.27,3.86,6.77,33.61,19.42,3.94,1.47,0.27,NA,2.73,15.07,0.5,4.48,1.44,NA,0.2,NA,NA,NA,NA,NA,0.18,NA,4.86,0.18,0.68,NA,2.67,NA,11.16,0.16,2.58,NA,0.16,NA,NA,NA
"Arizona",200.75,54.88,466.31,497.69,20.11,296.01,238.81,135.02,525.5,837.3,149.34,144.02,339.06,615.29,740.83,172.44,736.71,93.74,498.69,224.49,623.38,531.46,315.95,1351.49,424.59,557.91,531.51,1024.03,644.32,700.97,825.18,719.02,325.91,559.22,431.74,583.67,405.54,100.6,336.9,62.08,14.61,31.21,53.05,25.39,40.83,1.12,0.89,3.53,10,8.71,2.52,3.25,11.63,0.36,0.53,NA,NA,7.49,7.45,1,0.08,3.96,7.72,9.04,NA,0.06,0.2,0.27,0.17,0.18,0.2,0.02,NA,0.02,NA,NA
"Arkansas",481.77,67.22,53.44,45.91,5.33,293.32,384.57,80.33,5.66,16.98,356.73,123.51,72,273.89,232.7,162.6,207.51,69.5,168.47,130.61,208.3,667.72,91.12,401.09,188.55,727.41,151.03,173.54,506.86,78.41,173.95,46.49,89.24,93.26,77.61,77.5,58.28,63.08,72.49,66.76,0.15,1.51,1.66,21.91,0.65,3.71,0.66,0.1,0.91,2.04,0.96,0.47,0.76,0.59,NA,0.04,0.38,NA,12.21,NA,NA,0.21,1.74,NA,NA,NA,NA,0.08,NA,0.12,NA,0.16,0.04,NA,NA,NA
"California",69.22,72.8,760.24,477.48,214.08,445.28,423.26,466.38,773.54,78.26,278.32,939.48,376.44,174.42,1222.01,340.06,599.97,339.44,575.16,74.98,487.91,320.82,137.92,548.36,335.25,438.91,473.05,513.46,235.21,353.35,235.72,251.82,140.03,223.42,164.86,113.36,179.9,74.6,80.59,27.45,8.49,4.57,9.55,13.88,15.43,3.82,5.14,23.78,10.41,34.75,2.81,4.08,3.65,1.4,3.16,0.59,1.2,0.92,1.52,2.68,2.48,7.34,31.99,6.49,0.19,0.18,0.19,0.09,0.11,0.09,NA,0.06,0.03,0.11,NA,NA
"Colorado",206.98,74.24,1132.76,453.27,222.9,27.69,1204.25,1186.07,54.74,93,823.71,525.21,231.8,661.75,505.49,976.97,556.49,95.91,992.74,142.93,723.28,557.61,395.37,934.02,386.92,684,127.66,317.08,873.22,173.47,566.11,411.5,384.73,210.35,474,325.28,164.43,302.7,72,79.64,23.54,6.43,10.41,37.17,20.88,6.55,6.13,44.44,16.67,15.7,1.8,2.48,0.77,0.25,0.22,NA,NA,0.27,0.15,0.27,3.53,3.02,4.17,0.33,0.64,NA,0.54,0.68,0.21,0.72,NA,NA,0.06,NA,NA,NA
"Connecticut",634.95,614.82,112.23,790.46,348.27,330.66,282.35,1449.49,228.97,606.76,107.56,937.54,376.52,364.57,587.88,550.38,493.5,170.2,397.91,814.92,140.62,935.63,197.45,227.43,1179.01,99.99,223.47,1256.63,116.46,409.99,645.65,516.46,434.62,261.76,672.06,214.81,189.03,322.89,32.51,3.57,23.82,21.39,3.82,38.91,50.08,59.17,5.6,4.16,7.64,25.02,17.04,0.12,0.85,0.27,0.24,NA,0.31,0.18,0.27,0.66,0.51,6.53,5.7,0.69,0.06,0.18,0.12,0.03,0.03,NA,NA,NA,NA,NA,NA,NA
"Delaware",256.02,239.82,109.25,1003.28,15.98,82.68,1225.2,412.7,555.96,707.1,236.02,94.63,36.04,1268.35,90.16,564.55,138.4,96.86,198.98,19.41,333.13,234.53,194.7,208.42,119.34,115.88,527.67,26.98,212.31,78.13,118.9,139.7,212.92,368.35,129.42,248.69,79.26,102.38,51.14,10.64,4.51,93.73,47.46,7.27,9.66,1.71,2.72,5.94,18.8,1.18,1.87,0.17,0.68,NA,NA,NA,NA,NA,0.16,3.09,NA,5.4,1.35,2.81,0.42,0.28,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA
"District Of Columbia",535.63,94.2,182.1,832.99,53.14,100.8,1137.49,152.73,335.59,333.27,115.59,497.42,126.99,488.19,190.76,234.27,310.09,39.59,465.92,60.15,305.05,278.56,213.51,185.16,286.17,44.05,383.3,57.69,210.28,114.82,187.57,52.17,158.16,47.09,89.2,27.76,43.14,19.76,49.3,3.46,0.78,5.89,46,2.12,0.27,1.4,0.14,0.28,1.94,2.1,0.3,0.16,0.79,0.32,0.16,NA,NA,4.39,NA,NA,NA,6.74,3.66,NA,0.33,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA
"Florida",119.58,78.01,356.59,260.79,13.63,63.93,505.65,72.77,18.22,23.08,517.83,157.53,114.19,459.76,189.61,68.57,189.74,39.63,116.89,53.1,152.39,144.03,83.43,76.21,109.99,38.5,312.27,38.04,127.23,120.36,266.67,74.68,74.46,127.69,76.09,66.69,121.55,62.29,64.38,28.92,8.94,9.27,20.19,30.83,17.64,4.7,2.7,0.94,3.78,3.3,11.6,6.2,4.04,2.89,2.01,1.48,0.16,0.99,3.38,0.72,1.32,1.6,2.87,2.21,0.3,0.2,0.16,0.06,NA,0.06,0.01,0.01,0.02,NA,0.01,NA
